name
Daenerys Targaryen
Cersei Lannister
Arya Stark
Jon Snow
Grey Worm
Sandor Clegane
Bronn
Daario Naharis
Tormund Giantsbane
Ramsay Bolton
Theon Greyjoy
Barristan Selmy
Ygritte
Brienne of Tarth
Jorah Mormont
Yara Greyjoy
Gregor Clegane
Euron Greyjoy
Jaime Lannister
Styr
Melisandre
Stannis Baratheon
Eddard Stark
Tyrion Lannister
Yoren
Loras Tyrell
Tyene Sand
Alliser Thorne
Arthur Dayne
Jaqen H'ghar
Jory Cassel
Robb Stark
Ellaria Sand
Gendry Baratheon
Grenn
Karl Tanner
Khal Drogo
Locke
Lothar Frey
Mirri Maz Duur
Obara Sand
Olly
Osha
Podrick Payne
Rodrik Cassel
Samwell Tarly
Aemon Targaryen
Amory Lorch
Beric Dondarrion
Catelyn Stark
Dickon Tarly
Hodor
Ilyn Payne
Janos Slynt
Joffrey Baratheon
Lem Lemoncloak
Lyanna Mormont
Lysa Arryn
Meera Reed
Meryn Trant
Olenna Tyrell
Petyr Baelish
Polliver
Pypar
Qhorin Halfhand
Qyburn
Rast
Rickard Karstark
Roose Bolton
Tickler
Tommen Baratheon
Aeron Greyjoy
Alton Lannister
Anguy
Areo Hotah
Balon Greyjoy
Benjen Stark
Bran Stark
Craster
Dagmer Cleftjaw
Davos Seaworth
Doran Martell
Doreah
Gilly
Harald Karstark
Harrag
Hizdahr zo Loraq
Illyrio Mopatis
Jeor Mormont
Jojen Reed
Kevan Lannister
Kovarro
Kranzys mo Nakloz
Lancel Lannister
Lord of Bones
Mace Tyrell
Maester Luwin
Maester Pycelle
Maester Wolkan
Mance Rayder
Margaery Tyrell
Martyn Lannister
Matthos Seaworth
Missandei
Mord
Myranda Royce
Myrcella Baratheon
Nymeria Sand
Oberyn Martell
Orell
Othell Yarwyck
Qotho
Rakharo
Randyll Tarly
Razdal mo Eraz
Renly Baratheon
Rickon Stark
Robert Baratheon
Robin Arryn
Rorge
Ros
Sansa Stark
Selyse Baratheon
Shae
Shireen Baratheon
Syrio Forel
Thoros of Myr
Trystane Martell
Tywin Lannister
Vardis Egen
Varys
Viserys Targaryen
Waif
Walda Frey
Walder Frey
Yezzan zo Qaggaz
Yohn Royce
